1646267305255,50,sensor_send_runtime,110.3723
1646267305429,50,detection,car,0.871105
1646267305448,50,obstacle,[0 car],[338.2500 293.7500 2.0684]
1646267305474,50,e2e_runtime,329.6301
1646267305646,100,sensor_send_runtime,40.8473
1646267305860,100,detection,car,0.887650
1646267305876,100,obstacle,[0 car],[338.2500 294.5000 1.9102]
1646267305897,100,e2e_runtime,291.6143
1646267306048,150,sensor_send_runtime,38.4564
1646267306251,150,detection,car,0.906063
1646267306264,150,obstacle,[0 car],[338.5000 295.0000 1.7646]
1646267306299,150,e2e_runtime,289.8567
1646267306423,200,sensor_send_runtime,35.5420
1646267306691,200,detection,car,0.836814
1646267306702,200,obstacle,[0 car],[338.5000 293.5000 2.0000]
1646267306724,200,e2e_runtime,336.7944
1646267306866,250,sensor_send_runtime,51.3725
1646267307086,250,detection,car,0.884703
1646267307100,250,obstacle,[0 car],[339.0000 294.2500 1.8555]
1646267307125,250,e2e_runtime,310.5299
1646267307238,300,sensor_send_runtime,40.8497
1646267307444,300,detection,car,0.894925
1646267307460,300,obstacle,[0 car],[338.2500 292.7500 1.6299]
1646267307501,300,e2e_runtime,304.0078
1646267307676,350,sensor_send_runtime,48.7063
1646267307888,350,detection,car,0.918413
1646267307902,350,obstacle,[0 car],[339.0000 294.2500 1.3525]
1646267307928,350,e2e_runtime,300.9279
1646267308045,400,sensor_send_runtime,37.9770
1646267308263,400,detection,car,0.874320
1646267308276,400,obstacle,[0 car],[338.2500 294.7500 1.0723]
1646267308307,400,e2e_runtime,299.6483
1646267308423,450,sensor_send_runtime,36.0394
1646267308634,450,detection,car,0.911986
1646267308650,450,obstacle,[0 car],[338.0000 294.0000 0.7627]
1646267308668,450,e2e_runtime,280.8568
1646267308793,500,sensor_send_runtime,35.4509
1646267308993,500,detection,car,0.914899
1646267309009,500,obstacle,[0 car],[338.5000 293.7500 0.6685]
1646267309036,500,e2e_runtime,278.6238
1646267309142,550,sensor_send_runtime,36.8268
1646267309341,550,detection,car,0.913953
1646267309362,550,obstacle,[0 car],[338.5000 294.2500 0.6763]
1646267309390,550,e2e_runtime,285.3029
1646267309517,600,sensor_send_runtime,50.5548
1646267309765,600,detection,car,0.919890
1646267309782,600,obstacle,[0 car],[338.7500 294.2500 0.6758]
1646267309802,600,e2e_runtime,334.9831
1646267309920,650,sensor_send_runtime,45.7768
1646267310128,650,detection,car,0.921032
1646267310145,650,obstacle,[0 car],[338.0000 294.5000 0.6943]
1646267310165,650,e2e_runtime,290.2188
1646267310286,700,sensor_send_runtime,42.3341
1646267310490,700,detection,car,0.921982
1646267310504,700,obstacle,[0 car],[338.2500 294.0000 0.7002]
1646267310525,700,e2e_runtime,280.6222
1646267310649,750,sensor_send_runtime,54.7848
1646267310887,750,detection,car,0.923300
1646267310903,750,obstacle,[0 car],[337.5000 294.7500 0.7144]
1646267310927,750,e2e_runtime,333.1909
1646267311042,800,sensor_send_runtime,50.3700
1646267311235,800,detection,car,0.923751
1646267311247,800,obstacle,[0 car],[337.7500 294.5000 0.7236]
1646267311276,800,e2e_runtime,283.8848
1646267311387,850,sensor_send_runtime,39.5088
1646267311589,850,detection,car,0.925193
1646267311602,850,obstacle,[0 car],[338.7500 293.7500 0.7358]
1646267311628,850,e2e_runtime,280.4518
1646267311760,900,sensor_send_runtime,53.0832
1646267312000,900,detection,car,0.926093
1646267312012,900,obstacle,[0 car],[338.2500 293.7500 0.7373]
1646267312036,900,e2e_runtime,329.7904
1646267312153,950,sensor_send_runtime,44.4362
1646267312352,950,detection,car,0.926266
1646267312365,950,obstacle,[0 car],[337.2500 294.0000 0.7388]
1646267312384,950,e2e_runtime,275.7161
1646267312500,1000,sensor_send_runtime,47.0376
1646267312704,1000,detection,car,0.927060
1646267312718,1000,obstacle,[0 car],[338.7500 292.7500 0.7397]
1646267312745,1000,e2e_runtime,292.3322
1646267312913,1050,sensor_send_runtime,50.7092
1646267313116,1050,detection,car,0.927128
1646267313130,1050,obstacle,[0 car],[338.5000 294.7500 0.7402]
1646267313158,1050,e2e_runtime,296.0720
1646267313276,1100,sensor_send_runtime,46.9880
1646267313484,1100,detection,car,0.927174
1646267313497,1100,obstacle,[0 car],[338.0000 294.0000 0.7505]
1646267313522,1100,e2e_runtime,293.4039
1646267313650,1150,sensor_send_runtime,51.7855
1646267313890,1150,detection,car,0.919298
1646267313909,1150,obstacle,[0 car],[338.5000 293.7500 0.7554]
1646267313932,1150,e2e_runtime,333.2081
1646267314035,1200,sensor_send_runtime,35.3382
1646267314236,1200,detection,car,0.919391
1646267314252,1200,obstacle,[0 car],[337.7500 293.5000 0.7554]
1646267314270,1200,e2e_runtime,270.3745
1646267314382,1250,sensor_send_runtime,36.9906
1646267314586,1250,detection,car,0.919142
1646267314602,1250,obstacle,[0 car],[338.5000 294.0000 0.7510]
1646267314630,1250,e2e_runtime,284.6596
1646267314741,1300,sensor_send_runtime,46.8254
1646267314979,1300,detection,car,0.919925
1646267314996,1300,obstacle,[0 car],[338.5000 293.2500 0.7510]
1646267315022,1300,e2e_runtime,327.6901
1646267315142,1350,sensor_send_runtime,40.7364
1646267315347,1350,detection,car,0.920711
1646267315363,1350,obstacle,[0 car],[338.2500 294.0000 0.7510]
1646267315390,1350,e2e_runtime,288.7716
1646267315501,1400,sensor_send_runtime,35.3906
1646267315708,1400,detection,car,0.920147
1646267315725,1400,obstacle,[0 car],[337.5000 295.0000 0.7510]
1646267315747,1400,e2e_runtime,281.4724
1646267315867,1450,sensor_send_runtime,40.6101
1646267316115,1450,detection,car,0.920144
1646267316134,1450,obstacle,[0 car],[337.7500 294.7500 0.7510]
1646267316158,1450,e2e_runtime,331.4552
1646267316278,1500,sensor_send_runtime,53.0369
1646267316479,1500,detection,car,0.921245
1646267316494,1500,obstacle,[0 car],[338.2500 293.2500 0.7510]
1646267316515,1500,e2e_runtime,289.8524
1646267316636,1550,sensor_send_runtime,54.9052
1646267316839,1550,detection,car,0.920955
1646267316852,1550,obstacle,[0 car],[337.7500 294.5000 0.7510]
1646267316876,1550,e2e_runtime,294.5805
1646267316985,1600,sensor_send_runtime,37.3909
1646267317234,1600,detection,car,0.921451
1646267317246,1600,obstacle,[0 car],[337.5000 294.5000 0.7612]
1646267317264,1600,e2e_runtime,316.2649
1646267317389,1650,sensor_send_runtime,52.2385
1646267317600,1650,detection,car,0.921675
1646267317616,1650,obstacle,[0 car],[338.0000 294.7500 0.7612]
1646267317639,1650,e2e_runtime,301.9164
1646267317755,1700,sensor_send_runtime,43.5259
1646267317961,1700,detection,car,0.923515
1646267317981,1700,obstacle,[0 car],[338.5000 292.7500 0.7612]
1646267318010,1700,e2e_runtime,298.6302
1646267318133,1750,sensor_send_runtime,41.2180
1646267318379,1750,detection,car,0.923013
1646267318392,1750,obstacle,[0 car],[338.2500 293.7500 0.7622]
1646267318414,1750,e2e_runtime,322.8881
1646267318532,1800,sensor_send_runtime,49.3202
1646267318734,1800,detection,car,0.923420
1646267318748,1800,obstacle,[0 car],[338.2500 294.7500 0.7622]
1646267318770,1800,e2e_runtime,287.3867
1646267318881,1850,sensor_send_runtime,44.9555
